name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err
SDSS J004154.54+134135.5,2MASS J00415453+1341351,10.4773,13.6932,2300,0.88,3.5,-3.72,0.02
WISEA J004403.39+022810.6,2MASS J00440332+0228112,11.0138,2.4698,1600,1.29,4.0,-4.01,0.1
WISE J004542.56+361139.1,2MASS J00454267+3611406,11.4276,36.1947,1000,1.0,4.0,-5.03,0.07
2MASS J00464841+0715177,2MASS J00464841+0715177,11.7017,7.2549,2200,1.59,3.5,-3.3,0.02
WISEP J004701.06+680352.1,2MASS J00470038+6803543,11.7517,68.0651,1600,0.88,3.0,-4.48,0.06
WISEPC J004928.48+044100.1,2MASS J00492826+0440575,12.3678,4.6826,1500,0.65,5.5,-4.71,0.07
WISE J004945.61+215120.0,WISE J004945.61+215120.0,12.4415,21.8556,700,0.73,4.5,-5.93,0.08
2MASS J00501994-3322402,2MASS J00501994-3322402,12.5836,-33.3775,900,0.83,4.5,-5.4,0.06
SIPS J0050-1538,SIPS J0050-1538,12.6017,-15.6387,2400,0.87,4.0,-3.65,0.02
2MASSW J0051107-154417,2MASSW J0051107-154417,12.795,-15.738,1800,1.27,5.0,-3.81,0.04
2MASS J00521232+0012172,2MASS J00521232+0012172,13.0515,0.2049,1800,0.9,5.5,-4.12,0.12
RG 0050-2722,RG 0050-2722,13.2279,-27.0999,2400,0.94,3.5,-3.58,0.02
2MASS J00531899-3631102,2MASS J00531899-3631102,13.3291,-36.5195,1800,1.26,5.5,-3.83,0.03
SDSSp J005406.55-003101.8,2MASS J00540655-0031018,13.5274,-0.5173,1800,1.37,5.5,-3.74,0.05
PSO J013.7740+38.2804,Null,13.7724,38.2802,1400,0.99,5.5,-4.45,0.13
2MASS J00550564+0134365,2MASS J00550564+0134365,13.7736,1.5769,1800,0.95,5.0,-4.06,0.23
SDSS J005705.55-084624.2,2MASS J00570555-0846241,14.2731,-8.7734,2300,1.33,4.0,-3.36,0.09
2MASSW J0058425-065123,SIPS J0058-0651,14.6773,-6.8567,1800,1.57,5.5,-3.63,0.02
WISEA J010202.11+035541.4,SIMP J0102018+035540,15.5077,3.928,1400,0.75,3.5,-4.68,0.1
LHS 132,LP  938-71,15.7127,-37.6288,2600,1.16,4.0,-3.26,0.02
2MASSI J0104075-005328,2MASS J01040750-0053283,16.0315,-0.8913,1800,0.86,5.5,-4.15,0.13
ULAS2MASS J0106+1518,2MASS J01063737+1518556,16.6555,15.3153,2500,0.94,4.0,-3.51,0.02
