code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Abaz09,2009ApJS..182..543A,Abazajian:2009ef,Abazajian et al. (2009),The Seventh Data Release of the Sloan Digital Sky Survey
Aber14b,2014AJ....148..129A,Aberasturi:2014cc,Aberasturi et al. (2014b),Constraints on the Binary Properties of Mid- to Late T Dwarfs from Hubble Space Telescope WFC3 Observations
Adam11,2011ApJ...726L...3A,Adame:2011db,Adame et al. (2011),Spitzer Spectroscopy of the Circumprimary Disk in the Binary Brown Dwarf 2MASS J04414489+2301513
Adel07,2007ApJS..172..634A,AdelmanMcCarthy:2007cz,Adelman-McCarthy et al. (2007),The Fifth Data Release of the Sloan Digital Sky Survey
Adel08,2008ApJS..175..297A,AdelmanMcCarthy:2008gy,Adelman-McCarthy et al. (2008),The Sixth Data Release of the Sloan Digital Sky Survey
Agan16,2016AJ....151...46A,Aganze:2016fi,Aganze et al. (2016),Characterization of the Very-low-mass Secondary in the GJ 660.1AB System
Ahn_12,2012ApJS..203...21A,Ahn:2012ih,Ahn et al. (2012),The Ninth Data Release of the Sloan Digital Sky Survey: First Spectroscopic Data from the SDSS-III Baryon Oscillation Spectroscopic Survey
Alam15,2015ApJS..219...12A,Alam:2015go,Alam et al. (2015),The Eleventh and Twelfth Data Releases of the Sloan Digital Sky Survey: Final Data from SDSS-III
Albe11,2011AJ....141..203A,Albert:2011bc,Albert et al. (2011),37 New T-type Brown Dwarfs in the Canada-France Brown Dwarfs Survey
Alca20,2020A&A...635L...1A,Alcala:2020ja,Alcalá et al. (2020),2MASS J15491331-3539118: a new low-mass wide companion of the GQ Lup system
Alle06,2006ApJ...644..364A,Allers:2006ge,Allers et al. (2006),"Young, Low-Mass Brown Dwarfs with Mid-Infrared Excesses"
Alle07a,2007ApJ...657..511A,Allers:2007ja,Allers et al. (2007),Characterizing Young Brown Dwarfs Using Low-Resolution Near-Infrared Spectra
Alle07b,2007AJ....133..971A,Allen:2007hd,Allen et al. (2007b),A New Brown Dwarf Desert? A Scarcity of Wide Ultracool Binaries
Alle09,2009ApJ...697..824A,Allers:2009ib,Allers et al. (2009),"2MASS 22344161+4041387AB: A Wide, Young, Accreting, Low-Mass Binary in the LkH{ensuremath{alpha}}233 Group"
Alle10,2010ApJ...715..561A,Allers:2010cg,Allers et al. (2010),"Discovery of A Young L Dwarf Binary, SDSS J224953.47+004404.6AB"
Alle12,2012AJ....144...62A,Allen:2012dn,Allen et al. (2012),Low-mass Tertiary Companions to Spectroscopic Binaries. I. Common Proper Motion Survey for Wide Companions Using 2MASS
Alle13a,2013ApJ...772...79A,Allers:2013hk,Allers & Liu (2013a),A Near-infrared Spectroscopic Study of Young Field Ultracool Dwarfs
Alle13b,2013ApJ...773...63A,Aller:2013bc,Aller et al. (2013),"A Pan-STARRS + UKIDSS Search for Young, Wide Planetary-mass Companions in Upper Scorpius"
Alle13c,2013MmSAI..84.1089A,Allers:2013vv,Allers & Liu (2013b),A near-infrared spectroscopic study of young field ultracool dwarfs: additional analysis
Alle16,2016ApJ...821..120A,Aller:2016kg,Aller et al. (2016),Brown Dwarfs in Young Moving Groups from Pan-STARRS1. I. AB Doradus
Altm17,2017A&A...600L...4A,Altmann:2017hw,Altmann et al. (2017),Hot Stuff for One Year (HSOY). A 583 million star proper motion catalogue derived from Gaia DR1 and PPMXL
Alve13a,2013A&A...549A.123A,AlvesdeOliveira:2013dx,Alves de Oliveira et al. (2013a),Spectroscopy of brown dwarf candidates in IC 348 and the determination of its substellar IMF down to planetary masses
Andr11,2011AJ....141...54A,Andrei:2011jm,Andrei et al. (2011),"Parallaxes of Southern Extremely Cool Objects. I. Targets, Proper Motions, and First Results"
Ardi00,2000AJ....120..479A,Ardila:2000id,Ardila Martin & Basri (2000),A Survey for Low-Mass Stars and Brown Dwarfs in the Upper Scorpius OB Association
Arti06,2006ApJ...651L..57A,Artigau:2006bh,Artigau et al. (2006),Discovery of the Brightest T Dwarf in the Northern Hemisphere
Arti10,2010ApJ...718L..38A,Artigau:2010eb,Artigau et al. (2010),DENIS J081730.0-615520: An Overlooked Mid-T Dwarf in the Solar Neighborhood
Arti11,2011ApJ...739...48A,Artigau:2011hr,Artigau et al. (2011b),Discovery of Two L and T Binaries with Wide Separations and Peculiar Photometric Properties
Arti15,2015ApJ...806..254A,Artigau:2015vp,Artigau et al. (2015),BANYAN. VI. Discovery of a Companion at the Brown Dwarf/Planet-Mass Limit to a Tucana-Horologium M Dwarf
Bail14,2014ApJ...780L...4B,Bailey:2014et,Bailey et al. (2014),HD 106906 b: A Planetary-mass Companion Outside a Massive Debris Disk
Bard14,2014ApJ...794..143B,BardalezGagliuffi:2014fl,Bardalez Gagliuffi et al. (2014),SpeX Spectroscopy of Unresolved Very Low Mass Binaries. II. Identification of 14 Candidate Binaries with Late-M/Early-L and T Dwarf Components
Bard15,2015AJ....150..163B,BardalezGagliuffi:2015fd,Bardalez Gagliuffi Gelino & Burgasser (2015),High Resolution Imaging of Very Low Mass Spectral Binaries: Three Resolved Systems and Detection of Orbital Motion in an L/T Transition Binary
Barm11a,2011ApJ...733...65B,Barman:2011fe,Barman et al. (2011a),Clouds and Chemistry in the Atmosphere of Extrasolar Planet HR8799b
Barm11b,2011ApJ...735L..39B,Barman:2011dq,Barman et al. (2011b),"The Young Planet-mass Object 2M1207b: A Cool, Cloudy, and Methane-poor Atmosphere"
Baro15,2015ApJ...802...37B,Baron:2015fn,Baron et al. (2015),Discovery and Characterization of Wide Binary Systems with a Very Low Mass Component
Barr01f,2001A&A...377L...9B,BarradoyNavascues:2001db,Barrado y Navascués et al. (2001f),Optical spectroscopy of isolated planetary mass objects in the {ensuremath{sigma}} Orionis cluster
Barr02a,2002A&A...393L..85B,BarradoYNavascues:2002ee,Barrado y Navascués et al. (2002a),Discovery of a very cool object with extraordinarily strong H{ensuremath{alpha}} emission
Barr03a,2003A&A...404..171B,BarradoYNavascues:2003jb,Barrado y Navascués et al. (2003a),The sigma  Orionis substellar population.  VLT/FORS spectroscopy and 2MASS photometry
Bart07,2007PhDT.........2B,Bartlett:2007tk,Bartlett (2007),Knowing our neighbors: Fundamental properties of nearby stars
Bart17,2017AJ....154..151B,Bartlett:2017gs,Bartlett et al. (2017),The Solar Neighborhood. XXXX. Parallax Results from the CTIOPI 0.9 m Program: New Young Stars Near the Sun
Basr00,2000ApJ...538..363B,Basri:2000dg,Basri et al. (2000),"An Effective Temperature Scale for Late-M and L Dwarfs, from Resonance Absorption Lines of Cs I and Rb I"
Beam13,2013A&A...557L...8B,Beamin:2013fx,Beamín et al. (2013),One more neighbor: The first brown dwarf in the VVV survey
Beam14,2014A&A...570L...8B,Beamin:2014ep,Beamín et al. (2014),Temperature constraints on the coldest brown dwarf known: WISE 0855-0714
Beam15,2015MNRAS.454.4054B,Beamin:2015fh,Beamín et al. (2015),Spectrophotometric characterization of high proper motion sources from WISE
Beam17,2018RMxAC..50...55B,Beamin:2017wb,Beamín et al. (2017),Near-IR trigonometric parallaxes of nearby stars in the Galactic plane using the VVV survey
Beck88,1988Natur.336..656B,Becklin:1988kz,Becklin & Zuckerman (1988),A low-temperature companion to a white dwarf star
Beic13,2013ApJ...764..101B,Beichman:2013dl,Beichman et al. (2013),The Coldest Brown Dwarf (or Free-floating Planet)?: The Y Dwarf WISE 1828+2650
Beic14,2014ApJ...783...68B,Beichman:2014jr,Beichman et al. (2014),WISE Y Dwarfs as Probes of the Brown Dwarf-Exoplanet Connection
Beja08,2008ApJ...673L.185B,Bejar:2008ev,Béjar et al. (2008),Discovery of a Wide Companion near the Deuterium-burning Mass Limit in the Upper Scorpius Association
Bene99,1999AJ....118.1086B,Benedict:1999fn,Benedict et al. (1999),Interferometric Astrometry of Proxima Centauri and Barnard's Star Using HUBBLE SPACE TELESCOPE Fine Guidance Sensor 3: Detection Limits for Substellar Companions
Berd17,2017ApJ...847...61B,Berdyugina:2017uq,Berdyugina et al. (2017),First Detection of a Strong Magnetic Field on a Bursty Brown Dwarf: Puzzle Solved
Berg10,2010A&A...520A..54B,Bergfors:2010hm,Bergfors et al. (2010),Lucky Imaging survey for southern M dwarf binaries
Bern10,2010ApJ...715..724B,Bernat:2010hf,Bernat et al. (2010),A Close Companion Search Around L Dwarfs Using Aperture Masking Interferometry and Palomar Laser Guide Star Adaptive Optics
Berr03,2003IAUJD...8E..60B,Berriman:2003ui,Berriman et al. (2003),Discover of Brown Dwarfs with Virtual Observatories
Bess91b,1991AJ....101..662B,Bessell:1991bg,Bessell (1991b),The Late M Dwarfs
Best13,2013ApJ...777...84B,Best:2013bp,Best et al. (2013),A Search for L/T Transition Dwarfs with Pan-STARRS1 and WISE: Discovery of Seven Nearby Objects Including Two Candidate Spectroscopic Variables
Best15,2015ApJ...814..118B,Best:2015em,Best et al. (2015),A Search for L/T Transition Dwarfs with Pan-STARRS1 and WISE. II. L/T Transition Atmospheres and Young Discoveries
Best17a,2017ApJ...837...95B,Best:2017ih,Best et al. (2017a),A Search for L/T Transition Dwarfs with Pan-STARRS1 and WISE. III. Young L Dwarf Discoveries and Proper Motion Catalogs in Taurus and Scorpius-Centaurus
Best17b,2017ApJ...843L...4B,Best:2017br,Best et al. (2017b),The Young L Dwarf 2MASS J11193254-1137466 Is a Planetary-mass Binary
Best18,2018ApJS..234....1B,Best:2018kw,Best et al. (2018),"Photometry and Proper Motions of M, L, and T Dwarfs from the Pan-STARRS1 3π Survey"
Best20a,2020AJ....159..257B,Best:2020jr,Best et al. (2020a),The Hawaii Infrared Parallax Program. IV. A Comprehensive Parallax Survey of L0-T8 Dwarfs with UKIRT
Best20b,2020arXiv201015853B,Best:2020tu,Best et al. (2020b),"A Volume-Limited Sample of Ultracool Dwarfs. I. Construction, Space Density, and a Gap in the L/T Transition"
Biha09,2009A&A...506.1169B,Bihain:2009he,Bihain et al. (2009),Candidate free-floating super-Jupiters in the young {ensuremath{sigma}} Orionis open cluster
Biha10,2010A&A...519A..93B,Bihain:2010gm,Bihain et al. (2010),Near-infrared low-resolution spectroscopy of Pleiades L-type brown dwarfs
Biha13,2013A&A...557A..43B,Bihain:2013gw,Bihain et al. (2013),An overlooked brown dwarf neighbour (T7.5 at d raisebox{-0.5ex}textasciitilde 5 pc) of the Sun and two additional T dwarfs at about 10 pc
Bill05,2005A&A...440L..55B,Billeres:2005et,Billères et al. (2005),The first wide ultracool binary dwarf in the field: DENIS-J055146.0-443412.2 (M8.5 + L0)
Bill06a,2006ApJ...641L.141B,Biller:2006fw,Biller et al. (2006a),Discovery of a Brown Dwarf Very Close to the Sun: A Methane-rich Brown Dwarf Companion to the Low-Mass Star SCR 1845-6357
Bill10,2010ApJ...720L..82B,Biller:2010ku,Biller et al. (2010),The Gemini NICI Planet-finding Campaign: Discovery of a Close Substellar Companion to the Young Debris Disk Star PZ Tel
Bill13,2013ApJ...777..160B,Biller:2013fu,Biller et al. (2013),The Gemini/NICI Planet-Finding Campaign: The Frequency of Planets around Young Moving Group Stars
Blak08a,2008ApJ...678L.125B,Blake:2008co,Blake et al. (2008a),A Spectroscopic Binary at the M/L Transition
Bocc03b,2003A&A...410..283B,Boccaletti:2003cl,Boccaletti et al. (2003),Near-IR coronagraphic imaging of the companion to HR 7672
Boch05,2005AJ....130.1871B,Bochanski:2005in,Bochanski et al. (2005),Spectroscopic Survey of M Dwarfs within 100 Parsecs of the Sun
Boes76,1976PhDT........14B,Boeshaar:1976wm,Boeshaar (1976),The Spectral Classification of M-Dwarf Stars.
Bonn09,2009A&A...506..799B,Bonnefoy:2009jc,Bonnefoy et al. (2009),"The young, tight, and low-mass binary TWA22AB: a new calibrator for evolutionary models?. Orbit, spectral types, and temperature"
Bonn11,2011A&A...528L..15B,Bonnefoy:2011ex,Bonnefoy et al. (2011),High angular resolution detection of {ensuremath{beta}} Pictoris b at 2.18 {ensuremath{mu}}m
Bonn13,2013A&A...555A.107B,Bonnefoy:2013ii,Bonnefoy et al. (2013),The near-infrared spectral energy distribution of β Pictoris b
Bonn14a,2014A&A...562A.111B,Bonnefoy:2014dx,Bonnefoy et al. (2014a),Characterization of the gaseous companion {ensuremath{kappa}} Andromedae b. New Keck and LBTI high-contrast observations
Bonn14b,2014A&A...562A.127B,Bonnefoy:2014dh,Bonnefoy et al. (2014b),A library of near-infrared integral field spectra of young M-L dwarfs
Bonn14c,2014A&A...567L...9B,Bonnefoy:2014bx,Bonnefoy et al. (2014c),Physical and orbital properties of {ensuremath{beta}} Pictoris b
Bonn18,2018A&A...618A..63B,Bonnefoy:2018ch,Bonnefoy et al. (2018),"The GJ 504 system revisited. Combining interferometric, radial velocity, and high contrast imaging data"
Boud13,2013MNRAS.434..142B,Boudreault:2013bb,Boudreault & Lodieu (2013),The first spectroscopically identified L dwarf in Praesepe
Bouv08a,2008A&A...481..661B,Bouvier:2008kf,Bouvier et al. (2008),Brown dwarfs and very low mass stars in the Hyades cluster: a dynamically evolved mass function
Bouy03,2003AJ....126.1526B,Bouy:2003eg,Bouy et al. (2003),Multiplicity of Nearby Free-Floating Ultracool Dwarfs: A Hubble Space Telescope WFPC2 Search for Companions
Bouy04a,2004A&A...423..341B,Bouy:2004jk,Bouy et al. (2004a),First determination of the dynamical mass of a binary L dwarf
Bouy05,2005AJ....129..511B,Bouy:2005de,Bouy et al. (2005a),A Possible Third Component in the L Dwarf Binary System DENIS-P J020529.0-115925 Discovered with the Hubble Space Telescope
Bouy06a,2006ApJ...637.1056B,Bouy:2006bq,Bouy et al. (2006a),A Hubble Space Telescope Advanced Camera for Surveys Search for Brown Dwarf Binaries in the Pleiades Open Cluster
Bouy08b,2008A&A...481..757B,Bouy:2008jh,Bouy et al. (2008b),Follow-up observations of binary ultra-cool dwarfs
Bouy11,2011A&A...526A..55B,Bouy:2011es,Bouy et al. (2011),Adaptive optics observations of the T10 ultracool dwarf UGPS J072227.51-054031.2
Bouy15b,2015A&A...577A.148B,Bouy:2015gl,Bouy et al. (2015),"The Seven Sisters DANCe. I. Empirical isochrones, luminosity, and mass functions of the Pleiades cluster"
Bowl09,2009ApJ...706.1114B,Bowler:2009hn,Bowler Liu & Cushing (2009),The Benchmark Ultracool Subdwarf HD 114762B: A Test of Low-metallicity Atmospheric and Evolutionary Models
Bowl10a,2010ApJ...710...45B,Bowler:2010gd,Bowler Liu & Dupuy (2010),SDSS J141624.08+134826.7: A Nearby Blue L Dwarf From the Sloan Digital Sky Survey
Bowl13,2013ApJ...774...55B,Bowler:2013ek,Bowler et al. (2013),Planets around Low-mass Stars. III. A Young Dusty L Dwarf Companion at the Deuterium-burning Limit
Bowl14,2014ApJ...784...65B,Bowler:2014dk,Bowler et al. (2014),Spectroscopic Confirmation of Young Planetary-mass Companions on Wide Orbits
Bowl15,2015ApJS..216....7B,Bowler:2015ja,Bowler et al. (2015),Planets around Low-mass Stars (PALMS). IV. The Outer Architecture of M Dwarf Planetary Systems
Bowl16,2016PASP..128j2001B,Bowler:2016jk,Bowler (2016),Imaging Extrasolar Giant Planets
Bowl17a,2017AJ....153...18B,Bowler:2017hq,Bowler et al. (2017),Planets around Low-mass Stars (PALMS). VI. Discovery of a Remarkably Red Planetary-mass Companion to the AB Dor Moving Group Candidate 2MASS J22362452+4751425
Bowl17b,2017AJ....154..165B,Bowler:2017kt,Bowler et al. (2017),"The Young Substellar Companion ROXs 12 B: Near-infrared Spectrum, System Architecture, and Spin-Orbit Misalignment"
Bram08,2008MNRAS.386..887B,Bramich:2008dm,Bramich et al. (2008),Light and motion in SDSS Stripe 82: the catalogues
Bran04,2004A&A...428..205B,Brandner:2004id,Brandner et al. (2004),Astrometric monitoring of the binary brown dwarf DENIS-P J1228.2-1547
Bryj92,1992ApJ...388L..23B,Bryja:1992kh,Bryja et al. (1992),Candidate Brown Dwarfs in the Hyades
Bryj94,1994AJ....107..246B,Bryja:1994ir,Bryja Humphreys & Jones (1994),The Lowest Mass Stars in the Hyades
Buen14,2014ApJ...782...77B,Buenzli:2014by,Buenzli et al. (2014),Brown Dwarf Photospheres are Patchy: A Hubble Space Telescope Near-infrared Spectroscopic Survey Finds Frequent Low-level Variability
Buen15a,2015ApJ...798..127B,Buenzli:2015je,Buenzli et al. (2015a),Cloud Structure of the Nearest Brown Dwarfs: Spectroscopic Variability of Luhman 16AB from the Hubble Space Telescope
Burg00a,2000ApJ...531L..57B,Burgasser:2000bm,Burgasser et al. (2000a),Discovery of a Brown Dwarf Companion to Gliese 570ABC: A 2MASS T Dwarf Significantly Cooler than Gliese 229B
Burg00c,2000AJ....120.1100B,Burgasser:2000dp,Burgasser et al. (2000c),Discovery of a Bright Field Methane (T-Type) Brown Dwarf by 2MASS
Burg02a,2002ApJ...564..421B,Burgasser:2002fy,Burgasser et al. (2002a),The Spectra of T Dwarfs. I. Near-Infrared Data and Spectral Classification
Burg03a,2003AJ....125..850B,Burgasser:2003ij,Burgasser et al. (2003a),The 2Mass Wide-Field T Dwarf Search. I. Discovery of a Bright T Dwarf within 10 Parsecs of the Sun
Burg03b,2003ApJ...586..512B,Burgasser:2003ew,Burgasser et al. (2003b),Binarity in Brown Dwarfs: T Dwarf Binaries Discovered with the Hubble Space Telescope Wide Field Planetary Camera 2
Burg03c,2003ApJ...592.1186B,Burgasser:2003dx,Burgasser et al. (2003c),The First Substellar Subdwarf? Discovery of a Metal-poor L Dwarf with Halo Kinematics
Burg03d,2003ApJ...594..510B,Burgasser:2003dh,Burgasser et al. (2003d),The Spectra of T Dwarfs. II. Red Optical Data
Burg03e,2003AJ....126.2487B,Burgasser:2003jf,Burgasser McElwain & Kirkpatrick (2003),The 2MASS Wide-Field T Dwarf Search. II. Discovery of Three T Dwarfs in the Southern Hemisphere
Burg04a,2004ApJ...604..827B,Burgasser:2004dz,Burgasser et al. (2004a),S Orionis 70: Just a Foreground Field Brown Dwarf?
Burg04b,2004AJ....127.2856B,Burgasser:2004hg,Burgasser et al. (2004b),The 2MASS Wide-Field T Dwarf Search. III. Seven New T Dwarfs and Other Cool Dwarf Discoveries
Burg04c,2004ApJ...614L..73B,Burgasser:2004fh,Burgasser (2004a),Discovery of a Second L Subdwarf in the Two Micron All Sky Survey
Burg05a,2005AJ....129.2849B,Burgasser:2005jp,Burgasser Kirkpatrick & Lowrance (2005),Multiplicity among Widely Separated Brown Dwarf Companions to Nearby Stars: Gliese 337CD
Burg05c,2005ApJ...634L.177B,Burgasser:2005gj,Burgasser et al. (2005),SDSS J042348.57-041403.5AB: A Brown Dwarf Binary Straddling the L/T Transition
Burg06a,2006AJ....131.1007B,Burgasser:2006jj,Burgasser & McElwain (2006),Resolved Spectroscopy of M Dwarf/L Dwarf Binaries. I. DENIS J220002.05-303832.9AB
Burg06b,2006ApJ...637.1067B,Burgasser:2006cf,Burgasser et al. (2006a),A Unified Near-Infrared Spectral Classification Scheme for T Dwarfs
Burg06c,2006ApJ...639.1095B,Burgasser:2006el,Burgasser Burrows & Kirkpatrick (2006),A Method for Determining the Physical Properties of the Coldest Known Brown Dwarfs
Burg06d,2006ApJ...645.1485B,Burgasser:2006db,Burgasser & Kirkpatrick (2006),Discovery of the Coolest Extreme Subdwarf
Burg06e,2006ApJS..166..585B,Burgasser:2006hd,Burgasser et al. (2006b),Hubble Space Telescope NICMOS Observations of T Dwarfs: Brown Dwarf Multiplicity and New Probes of the L/T Transition
Burg07a,2007ApJ...657..494B,Burgasser:2007ki,Burgasser Cruz & Kirkpatrick (2007),Optical Spectroscopy of 2MASS Color-selected Ultracool Subdwarfs
Burg07b,2007ApJ...658..557B,Burgasser:2007gi,Burgasser et al. (2007),Discovery of a High Proper Motion L Dwarf Binary: 2MASS J15200224-4422419AB
Burg07c,2007ApJ...658..617B,Burgasser:2007cj,Burgasser (2007a),The Physical Properties of HD 3651B: An Extrasolar Nemesis?
Burg07d,2007ApJ...659..655B,Burgasser:2007fl,Burgasser (2007b),Binaries and the L Dwarf/T Dwarf Transition
Burg07e,2007AJ....134.1330B,Burgasser:2007jw,Burgasser (2007c),SDSS J080531.84+481233.0: An Unresolved L Dwarf/T Dwarf Binary
Burg08a,2008ApJ...672.1159B,Burgasser:2008cw,Burgasser et al. (2008a),Parallax and Luminosity Measurements of an L Subdwarf
Burg08b,2008ApJ...674..451B,Burgasser:2008ei,Burgasser et al. (2008b),"Clouds, Gravity, and Metallicity in Blue L Dwarfs: The Case of 2MASS J11263991-5003550"
Burg08c,2008ApJ...681..579B,Burgasser:2008cj,Burgasser et al. (2008c),Subtle Signatures of Multiplicity in Late-type Dwarf Spectra: The Unresolved M8.5 + T5 Binary 2MASS J03202839-0446358
Burg08d,2008ApJ...689L..53B,Burgasser:2008ke,Burgasser et al. (2008d),2MASS J09393548-2448279: The Coldest and Least Luminous Brown Dwarf Binary Known?
Burg09a,2009ApJ...697..148B,Burgasser:2009db,Burgasser et al. (2009),Optical and Near-Infrared Spectroscopy of the L Subdwarf SDSS J125637.13-022452.4
Burg09b,2009AJ....137.4621B,Burgasser:2009ez,Burgasser & Blake (2009),An Age Constraint for the Very Low Mass Stellar/Brown Dwarf Binary 2MASS J03202839-0446358AB
Burg09c,2009AJ....138.1563B,Burgasser:2009gs,Burgasser Dhital & West (2009),Resolved Spectroscopy of M Dwarf/L Dwarf Binaries. III. The ``Wide'' L3.5/L4 Dwarf Binary 2Mass J15500845+1455180AB
Burg10a,2010ApJ...710.1142B,Burgasser:2010df,Burgasser et al. (2010a),SpeX Spectroscopy of Unresolved Very Low Mass Binaries. I. Identification of 17 Candidate Binaries Straddling the L Dwarf/T Dwarf Transition
Burg10b,2010AJ....139.2448B,Burgasser:2010bj,Burgasser Looper & Rayner (2010),ULAS J141623.94+134836.3: A Blue T Dwarf Companion to a Blue L Dwarf
Burg10c,2010ApJ...725.1405B,Burgasser:2010bu,Burgasser et al. (2010b),Clouds in the Coldest Brown Dwarfs: Fire Spectroscopy of Ross 458C
