name,ra_j2000_formula,dec_j2000_formula,identifiers_simbad
2MASS J00345157+0523050,8.7144,5.3846,2MASS J00345157+0523050|TIC 318708202|ULAS J003451.98+052306.8|WISEA J003452.03+052306.9|WISE J003452.02+052307.0
2MASSI J0034568-070601,8.7369,-7.1004,2MASS J00345684-0706013|2MASSI J0034568-070601|SDSS J003457.00-070603.0|TIC 38381925|WISEA J003457.00-070603.1|WISE J003456.99-070602.9|Gaia DR2 2523521331984439936
SDSS J003524.44+144739.8,8.8518,14.7944,SDSS J003524.44+144739.8|SDSS J003524.43+144739.7|SDSS J003524.44+144739.7|SDSS J003524.45+144739.7|ULAS J003524.51+144739.6|WISEA J003524.54+144739.4|WISE J003524.52+144739.7
SDSS J003609.26+241343.3,9.0386,24.2287,2MASS J00360925+2413434|SDSS J003609.26+241343.3|SDSS J003609.26+241343.2|TIC 301799048|WISEA J003609.28+241342.9|WISE J003609.27+241343.1
2MASSW J0036159+182110,9.0671,18.3529,2MASS J00361617+1821104|** BNA    1A|LSPM J0036+1821|2MASSW J0036159+182110|2MASSW J0036162+182110|2MUCD 20029|TIC 426959594|USNO-B1.0 1083-00010105|WDS J00363+1821A|WISEA J003616.79+182111.6|[B2006] J003616.1+182110|Gaia DR3 2794735086363871360|Gaia DR2 2794735086363871360
ULAS J003716.06-005404.7,9.3169,-0.9012,BRLT 12|ULAS J003716.06-005404.7
2MASS J00374306-5846229,9.4294,-58.7730,2MASS J00374306-5846229|DENIS J003743.0-584623|TIC 281638648|Gaia DR2 4907052431202692096|Gaia DR3 4907052431202692096
2MASS J00381489-6403529,9.5621,-64.0647,2MASS J00381489-6403529|TIC 234492582|WISEA J003815.05-640353.4|Gaia DR2 4708433867622492416|Gaia DR3 4708433867622492416
WISE J003829.05+275852.1,9.6211,27.9810,WISEA J003829.06+275852.0|WISE J003829.05+275852.1|EQ J0038+2758
WISE J003830.54+840517.7,9.6202,84.0884,WISEA J003830.68+840517.6|WISE J003830.54+840517.7|EQ J0038+8405
SDSS J003843.99+134339.5,9.6833,13.7276,2MASS J00384398+1343395|SDSS J003843.99+134339.3|SDSS J003843.99+134339.5|SDSS J003843.99+134339.4|SDSS J003843.98+134339.4|TIC 245762239|ULAS J003844.01+134339.0|Gaia DR3 2779363119238642560|Gaia DR2 2779363119238642560
HD 3651B,9.8288,21.2547,*  54 Psc B|** LUH    3B|HD   3651B|WDS J00394+2115C
YU-45194_68516,9.8318,58.5785,2MASS J00391959+5834426|TIC 311829853|WISEA J003919.96+583441.4|WISE J003919.95+583441.5
WISE J004024.88+090054.8,10.1039,9.0152,2MASS J00402492+0900547|TIC 401444516|WISEA J004024.88+090054.4|WISE J004024.88+090054.8|EQ J0040+0900
ULAS J004030.42+091524.9,10.1274,9.2569,ULAS J004030.42+091524.9|ULAS J004030.41+091524.8|WISEA J004030.44+091524.3|WISE J004030.37+091523.9
SDSS J004058.93+152845.0,10.2456,15.4792,2MASS J00405893+1528452|SDSS J004058.92+152845.0|TIC 397561576|ULAS J004059.00+152844.7|WISEA J004059.02+152844.2|WISE J004059.01+152844.5|Gaia DR2 2781325373831704576
HD 3861B,10.2944,9.3554,** SOZ    6B|ULAS J004110.68+092120.1|WDS J00412+0921B|Gaia DR3 2750175350423294336
2MASS J00412179+3547133,10.3409,35.7871,2MASS J00412179+3547133|TIC 415775734|WISEA J004121.71+354712.8|WISE J004121.71+354712.8|Gaia DR3 365582359196918656|Gaia DR2 365582359196918656
DENIS-P J0041353-562112,10.3974,-56.3536,2MASS J00413538-5621127|** RNR    1|DENIS J004135.3-562112|2MASSI J0041353-562112|2MUCD 20035|TIC 281668854|WDS J00416-5621AB|Gaia DR2 4920330653311504256|Gaia DR3 4920330653311504256
SDSS J004154.54+134135.5,10.4773,13.6932,2MASS J00415453+1341351|SDSS J004154.55+134135.4|SDSS J004154.54+134135.5|TIC 258770840|ULAS2MASS J0041+1341|ULAS J004154.44+134134.0|WISEA J004154.40+134133.6|Gaia DR2 2776324485710775296|Gaia DR3 2776324485710775296
WISEA J004206.84-584023.9,10.5279,-58.6730,WISEA J004206.84-584023.9|WISE J004206.88-584023.6
SDSS J004221.15+145923.9,10.5882,14.9899,2MASS J00422118+1459236|SDSS J004221.15+145923.9|SDSS J004221.15+145923.8|SDSS J004221.14+145923.8|TIC 405248333|ULAS J004221.21+145923.8|WISEA J004221.24+145923.5|WISE J004221.23+145923.6
2MASS J00425923+1142104,10.7468,11.7029,2MASS J00425923+1142104|TIC 405227067|ULAS J004259.29+114209.8|Gaia DR2 2775496377361648384|Gaia DR3 2775496377361648384
WISEA J004326.26+222124.0,10.8589,22.3579,2MASS J00432610+2221295|TIC 434222081|WISEA J004326.26+222124.0|WISE J004326.25+222124.2|Gaia DR2 2802623115925093760|Gaia DR3 2802623115925093760
LHS 1135,10.8810,20.9087,LHS  1135|LP  405-55|LSPM J0043+2054|2MASS J00433134+2054316|NLTT  2365|TIC 434222415|USNO-B1.0 1109-00008730|WISEA J004331.91+205429.0|Gaia DR2 2801587139749159168|Gaia DR3 2801587139749159168
2MASS J00435012+0928429,10.9589,9.4786,2MASS J00435012+0928429|TIC 353234634|ULAS J004350.11+092842.3|WISEA J004350.11+092842.1|WISE J004350.11+092842.3|Gaia DR2 2750190636212184704
ULAS J004355.61+141117.6,10.9818,14.1883,BRLT 14|ULAS J004355.61+141117.6
WISEA J004403.39+022810.6,11.0138,2.4698,2MASS J00440332+0228112|SDSS J004403.37+022810.6|TIC 336585931|ULAS J004403.37+022810.7|WISEA J004403.39+022810.6|WISE J004403.38+022810.7
PSO J011.1793-03.7847,11.1786,-3.7851,PSO J011.1793-03.7847
2MASSW J0045214+163445,11.3392,16.5791,2MASS J00452143+1634446|2MASSW J0045214+163445|2MUCD 20037|SDSS J004521.63+163444.2|TIC 268126668|WISEA J004521.68+163444.2|WISE J004521.68+163444.4|[B2006] J004521.4+163444|Gaia DR2 2781513733917711616|Gaia DR3 2781513733917711616
ULAS J004539.97+135032.7,11.4166,13.8424,SDSS J004539.96+135032.6|ULAS J004540.02+135032.1|ULAS J004539.97+135032.7|WISE J004540.13+135032.4|Gaia DR3 2776383343942921856
WISE J004542.56+361139.1,11.4276,36.1947,2MASS J00454267+3611406|SDSS J004542.60+361139.6|TIC 115848264|WISEA J004542.57+361138.9|WISE J004542.56+361139.1|EQ J0045+3611
2MASS J00461551+0252004,11.5646,2.8669,2MASS J00461551+0252004|TIC 257570079|ULAS J004615.56+025159.6|Gaia DR2 2550766886522609920|Gaia DR3 2550766886522609920
2MASS J00464841+0715177,11.7017,7.2549,2MASS J00464841+0715177|SDSS J004648.45+071517.4|TIC 418782178|ULAS J004648.46+071517.2|Gaia DR2 2556724418479276416|Gaia DR3 2556724418479276416
WISEP J004701.06+680352.1,11.7517,68.0651,2MASS J00470038+6803543|TIC 368451406|WISEA J004701.09+680352.2|WISEP J004701.06+680352.1|WISE J004701.07+680352.1
WISEA J004713.81-371033.7,11.8061,-37.1744,2MASS J00471348-3710282|TIC 183565500|WISEA J004713.81-371033.7|WISE J004713.80-371033.3
ULAS J004757.41+154641.4,11.9890,15.7783,BRLT 15|ULAS J004757.41+154641.4|ULAS J004757.40+154641.4
2MASS J00492677-0635467,12.3615,-6.5964,2MASS J00492677-0635467|2MASSI J0049267-063546|SDSS J004926.70-063547.9|TIC 3958591|WISEA J004926.68-063547.9|WISE J004926.68-063547.8|Gaia DR3 2523085654797795072|Gaia DR2 2523085654797153280
WISEPC J004928.48+044100.1,12.3678,4.6826,2MASS J00492826+0440575|CFBDS J004928+044058|EPIC 220398312|SIMP J0049282+044057|TIC 257219105|ULAS J004928.44+044059.7|WISEA J004928.48+044059.8|WISEP J004928.48+044100.1|WISE J004928.48+044059.9|EQ J0049+0441|EQ J0049+0440|Gaia DR2 2552735978704704768
WISE J004945.61+215120.0,12.4415,21.8556,2MASS J00494608+2151204|TIC 435867592|WISE J004945.61+215120.0|EQ J0049+2151
2MASS J00501994-3322402,12.5836,-33.3775,2MASS J00501994-3322402|TIC 66375433|WISEA J005021.05-332228.8|WISEP J005021.03-332229.2
