# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
NLTT 8245B W3,only upper error
NLTT 8245B W4,only upper error
2MASS J02340093-6442068 W4,only upper error
WISEA J023421.83+601227.3 W4,only upper error
SDSS J023547.56-084919.8 W3,only upper error
SDSS J023547.56-084919.8 W4,only upper error
GJ 1048B,missing wise designation name
GJ 1048B,missing proper motion values
GJ 1048B W1,only upper error
GJ 1048B W2,only upper error
GJ 1048B W3,only upper error
GJ 1048B W4,only upper error
SDSSp J023617.93+004855.0 W4,only upper error
PSO J039.6352-21.7746 W4,only upper error
CWISEP J023842.60-133210.7 W1,only upper error
CWISEP J023842.60-133210.7 W3,only upper error
CWISEP J023842.60-133210.7 W4,only upper error
2MASSI J0239424-173547 W4,only upper error
2MASS J02402950+2832576 W4,only upper error
2MASS J02404759-4253377 W4,only upper error
2MASS J02410564-5511466 W4,only upper error
2MASS J02411151-0326587 W3,only upper error
2MASS J02411151-0326587 W4,only upper error
WISE J024124.73-365328.0 W4,only upper error
LSPM J0241+2553B W3,only upper error
LSPM J0241+2553B W4,only upper error
2MASSI J0241536-124106 W4,only upper error
2MASSW J0242435+160739 W3,only upper error
2MASSW J0242435+160739 W4,only upper error
SDSS J024256.98+212319.6 W3,only upper error
SDSS J024256.98+212319.6 W4,only upper error
2MASSI J0243137-245329 W4,only upper error
2MASS J02435103-5432194 W4,only upper error
2MASS J02441019-3548036 W4,only upper error
WISE J024512.62-345047.8 W4,only upper error
ULAS J024557.88+065359.4 W3,only upper error
ULAS J024557.88+065359.4 W4,only upper error
PSO J041.5426+01.9456 W4,only upper error
ULAS J024703.40-010700.8 W3,only upper error
ULAS J024703.40-010700.8 W4,only upper error
WISE J024714.52+372523.5 W3,only upper error
WISE J024714.52+372523.5 W4,only upper error
SDSS J024749.90-163112.6 W3,only upper error
SDSS J024749.90-163112.6 W4,only upper error
BR B0246-1703 W4,only upper error
2MASS J0249-0557 c W4,only upper error
2MASS J02495639-0557352 W4,only upper error
TVLM 831-154910 W4,only upper error
CFBDS J025053.33+162050.7 W3,only upper error
TVLM 831-161058 W4,only upper error
